Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2017,Honda,Jazz ,44.96k,Petrol,Manual,TG-11,₹3.70 lakh
2020,Maruti,Swift ,1.2l,Petrol,Manual,TS-07,₹3.86 lakh
2020,Tata,ALTROZ ,58.69k,Petrol,Manual,TS-08,₹4.40 lakh
2016,Renault,Kwid ,96.22k,Petrol,Manual,TS-15,₹1.83 lakh
2016,Datsun,Redi Go,89.68k,Petrol,Manual,TS-08,₹1.39 lakh
2018,Renault,Kwid ,63.29k,Petrol,Manual,TS-19,₹2.12 lakh
2016,Maruti,Celerio ,1.4l,Petrol,Manual,TS-34,₹2.01 lakh
2021,Tata,ALTROZ ,1.1l,Diesel,Manual,TS-12,₹4.52 lakh
2018,Hyundai,Elite i20,79.19k,Petrol,Manual,TS-15,₹4.23 lakh
2015,Maruti,Alto 800,37.62k,Petrol,Manual,TS-10,₹1.61 lakh
2019,Maruti,S PRESSO,98.85k,Petrol,Manual,TS-11,₹2.60 lakh
2021,Maruti,Swift ,53.64k,Petrol,Manual,TS-08,₹4.71 lakh
2019,Honda,Jazz ,45.90k,Petrol,Manual,TS-28,₹5.10 lakh
2023,Maruti,Swift ,42.22k,Petrol,Manual,AP-40,₹5.65 lakh
2015,Maruti,Alto 800,51.17k,Petrol,Manual,TS-10,₹1.54 lakh
2017,Datsun,Redi Go,35.21k,Petrol,Manual,TS-09,₹1.61 lakh
2019,Maruti,Baleno ,66.36k,Petrol,Manual,TS-07,₹4.96 lakh
2023,Maruti,Baleno ,26.40k,Petrol,Manual,TS-07,₹6.35 lakh
